save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.19407894736842, record@105-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:83.22368421052632, record@106-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.67434210526315, record@107-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.09868421052632, record@108-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.758453369140625, trainAcc:77.38486842105263, record@109-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:78.94736842105263, record@110-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:81.82565789473685, record@111-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:81.82565789473685, record@112-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:82.1546052631579, record@113-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.758453369140625, trainAcc:80.3453947368421, record@114-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:82.89473684210526, record@115-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.67434210526315, record@116-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.19407894736842, record@117-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.42763157894737, record@118-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:81.00328947368422, record@119-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:77.96052631578947, record@120-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.83881578947368, record@121-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.033817291259766, trainAcc:80.83881578947368, record@122-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.67434210526315, record@123-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:81.00328947368422, record@124-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.44078947368422, record@125-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:82.31907894736842, record@126-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:78.94736842105263, record@127-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:78.37171052631578, record@128-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:79.93421052631578, record@129-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.5921052631579, record@130-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:81.57894736842105, record@131-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.26315789473685, record@132-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.93421052631578, record@133-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.5921052631579, record@134-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.01644736842105, record@135-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.6875, record@136-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:78.7828947368421, record@137-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:81.57894736842105, record@138-epoch
